instance,parameter,cut_count,known_puzzle,best_solution,lower bound,gap,runtime,node_count,remaining_nodes,status,cpu_type,time_limit,ram
0,2,500,17,17.0,17.0,0.0,60356.031887,2121659,0,Optimal,Intel(R) Xeon(R) CPU E5-2630 v4 @ 2.20GHz,345600,16000
0,2,1000,17,17.0,17.0,0.0,68467.935495,2224898,0,Optimal,Intel(R) Xeon(R) CPU E5-2630 v4 @ 2.20GHz,345600,16000
0,2,3000,17,17.0,17.0,0.0,155288.113687,1974942,0,Optimal,Intel(R) Xeon(R) CPU E5-2630 v4 @ 2.20GHz,345600,16000
0,2,5000,17,17.0,17.0,0.0,343316.291432,2355902,0,Optimal,Intel(R) Xeon(R) CPU E5-2630 v4 @ 2.20GHz,345600,16000
1,2,500,17,17.0,17.0,0.0,117127.506405,3854820,0,Optimal,Intel(R) Xeon(R) CPU E5-2630 v4 @ 2.20GHz,345600,16000
1,2,1000,17,17.0,17.0,0.0,69477.69079,2201656,0,Optimal,Intel(R) Xeon(R) CPU E5-2630 v4 @ 2.20GHz,345600,16000
1,2,3000,17,17.0,17.0,0.0,223326.688514,2503385,0,Optimal,Intel(R) Xeon(R) CPU E5-2630 v4 @ 2.20GHz,345600,16000
1,2,5000,17,17.0,17.0,0.0,44622.443516,272558,0,Optimal,Intel(R) Xeon(R) CPU E5-2630 v4 @ 2.20GHz,345600,16000
2,2,500,17,17.0,17.0,0.0,46647.089558,1551152,0,Optimal,Intel(R) Xeon(R) CPU E5-2630 v4 @ 2.20GHz,345600,16000
2,2,1000,17,17.0,17.0,0.0,49147.027995,1463381,0,Optimal,Intel(R) Xeon(R) CPU E5-2630 v4 @ 2.20GHz,345600,16000
2,2,3000,17,17.0,17.0,0.0,111461.030675,1244690,0,Optimal,Intel(R) Xeon(R) CPU E5-2630 v4 @ 2.20GHz,345600,16000
2,2,5000,17,17.0,17.0,0.0,24880.817038,147498,0,Optimal,Intel(R) Xeon(R) CPU E5-2630 v4 @ 2.20GHz,345600,16000
3,2,500,17,19.0,16.33814,14.009788,345600.097006,12042288,6340049,Time Limit,Intel(R) Xeon(R) CPU E5-2630 v4 @ 2.20GHz,345600,16000
3,2,1000,17,17.0,17.0,0.0,301608.56225,9357045,0,Optimal,Intel(R) Xeon(R) CPU E5-2630 v4 @ 2.20GHz,345600,16000
3,2,3000,17,18.0,16.371178,9.049012,345600.041661,4085271,1029024,Time Limit,Intel(R) Xeon(R) CPU E5-2630 v4 @ 2.20GHz,345600,16000
3,2,5000,17,18.0,16.021459,10.991893,345628.700713,2326003,867800,Time Limit,Intel(R) Xeon(R) CPU E5-2630 v4 @ 2.20GHz,345600,16000
4,2,500,17,17.0,17.0,0.0,19875.049074,706991,0,Optimal,Intel(R) Xeon(R) CPU E5-2630 v4 @ 2.20GHz,345600,16000
4,2,1000,17,17.0,17.0,0.0,24295.488266,689997,0,Optimal,Intel(R) Xeon(R) CPU E5-2630 v4 @ 2.20GHz,345600,16000
4,2,3000,17,17.0,17.0,0.0,9189.787626,92775,0,Optimal,Intel(R) Xeon(R) CPU E5-2630 v4 @ 2.20GHz,345600,16000
4,2,5000,17,17.0,17.0,0.0,42403.12939,260818,0,Optimal,Intel(R) Xeon(R) CPU E5-2630 v4 @ 2.20GHz,345600,16000
5,2,500,17,17.0,17.0,0.0,21366.157271,767551,0,Optimal,Intel(R) Xeon(R) CPU E5-2630 v4 @ 2.20GHz,345600,16000
5,2,1000,17,17.0,17.0,0.0,13606.930875,412424,0,Optimal,Intel(R) Xeon(R) CPU E5-2630 v4 @ 2.20GHz,345600,16000
5,2,3000,17,17.0,17.0,0.0,62107.031165,806682,0,Optimal,Intel(R) Xeon(R) CPU E5-2630 v4 @ 2.20GHz,345600,16000
5,2,5000,17,17.0,17.0,0.0,83557.731492,543626,0,Optimal,Intel(R) Xeon(R) CPU E5-2630 v4 @ 2.20GHz,345600,16000
6,2,500,17,17.0,17.0,0.0,61894.374313,2131686,0,Optimal,Intel(R) Xeon(R) CPU E5-2630 v4 @ 2.20GHz,345600,16000
6,2,1000,17,17.0,17.0,0.0,37466.248512,1161265,0,Optimal,Intel(R) Xeon(R) CPU E5-2630 v4 @ 2.20GHz,345600,16000
6,2,3000,17,17.0,17.0,0.0,105164.061763,1349795,0,Optimal,Intel(R) Xeon(R) CPU E5-2630 v4 @ 2.20GHz,345600,16000
